exchange,symbol,expiry,strike,call_gex,put_gex,call_oi,put_oi,spot_price
Deribit,BTC,2026-04-16,71000.0,0.0,-23228959.988652837,0.0,102.5,75270.18
Deribit,BTC,2026-04-16,71500.0,14447279.992942618,0.0,51.0,0.0,75270.18
Deribit,BTC,2026-04-16,72000.0,0.0,-13903382.393208308,0.0,40.9,75270.18
Deribit,BTC,2026-04-16,72500.0,13597439.993357759,-12690943.993800575,30.0,28.0,75270.18
Deribit,BTC,2026-04-16,73000.0,33370383.98369883,-36146527.982342705,58.9,63.8,75270.18
Deribit,BTC,2026-04-16,73500.0,21506617.589494184,-13183851.19355979,29.2,17.9,75270.18
Deribit,BTC,2026-04-16,74000.0,18186575.991116,-12917567.993689869,21.4,15.2,75270.18
Deribit,BTC,2026-04-16,74500.0,23296947.188619625,0.0,25.7,0.0,75270.18
Deribit,BTC,2026-04-16,75000.0,79267409.56127849,-14639910.392848518,82.3,15.2,75270.18
Deribit,BTC,2026-04-16,76000.0,93329428.75440931,0.0,96.9,0.0,75270.18
Deribit,BTC,2026-04-16,77000.0,34764121.583018,0.0,47.2,0.0,75270.18
Deribit,BTC,2026-04-16,78000.0,32990788.783884265,0.0,64.7,0.0,75270.18
Deribit,BTC,2026-04-17,65000.0,0.0,-54809014.37322623,0.0,967.4,75270.18
Deribit,BTC,2026-04-17,66000.0,0.0,-24905977.587833628,0.0,439.6,75270.18
Deribit,BTC,2026-04-17,67000.0,29387467.18564446,-46180305.57744128,518.7,815.1,75270.18
Deribit,BTC,2026-04-17,68000.0,13195182.39355426,-31863334.384435017,232.9,562.4,75270.18
Deribit,BTC,2026-04-17,69000.0,28905891.185879704,-32214601.584263425,255.1,284.3,75270.18
Deribit,BTC,2026-04-17,69500.0,0.0,-28180694.386233952,0.0,165.8,75270.18
Deribit,BTC,2026-04-17,70000.0,62480236.7694789,-127611974.33766255,367.6,750.8,75270.18
Deribit,BTC,2026-04-17,70500.0,0.0,-16339590.392018238,0.0,72.1,75270.18
Deribit,BTC,2026-04-17,71000.0,100989319.95066752,-48384223.976364695,356.5,170.8,75270.18
